"key","en","es","fr","status"
"templates.checklist.clipboardNA","Clipboard not available","Portapapeles no disponible","Presse-papiers indisponible","ok"
"templates.checklist.clipboardNABody","Install expo-clipboard in a dev build to enable copy.","Instale expo-clipboard para copiar.","Installez expo-clipboard pour copier.","ok"
"templates.checklist.shareUnavailable","Share unavailable","Compartir no disponible","Partage indisponible","ok"
"templates.checklist.shareUnavailableBody","System share sheet not available.","Hoja del sistema no disponible.","Feuille système indisponible.","ok"
"templates.checklist.shareError","Share failed","Error al compartir","Partage échoué","ok"
"templates.checklist.shareErrorBody","Could not share checklist file.","No se pudo compartir archivo.","Impossible de partager fichier.","ok"
"templates.checklist.resetAnnounce","Checklist reset","Lista restablecida","Liste réinitialisée","ok"
"templates.checklist.kindChanged","Checklist type changed","Tipo cambiado","Type changé","ok"
"templates.checklist.tip","Tip: Summaries from Wellness trackers can support your evidence.","Consejo: Resúmenes de seguimientos de Bienestar ayudan.","Astuce : Les suivis Bien‑être peuvent aider.","ok"
"templates.deadlines.title","Deadlines","Plazos","Échéances","ok"
"templates.deadlines.screenLabel","Deadlines screen","Pantalla de plazos","Écran échéances","ok"
"templates.deadlines.toggleInfo","Toggle instructions","Mostrar/ocultar instrucciones","Afficher/masquer instructions","ok"
"templates.deadlines.infoTitle","How to Use","Cómo usar","Mode d'emploi","ok"
"templates.deadlines.infoLine1","Track important dates (appeals, follow-ups) in calendar or list view.","Gestione fechas importantes (apelaciones, seguimientos) en calendario o lista.","Suivez dates importantes (appels, suivis) en calendrier ou liste.","ok"
"templates.deadlines.infoLine2","Import ICS files, add recurring reminders, and export all deadlines (ICS/CSV).","Importe ICS, agregue recordatorios recurrentes y exporte (ICS/CSV).","Import ICS, rappels récurrents et export (ICS/CSV).","ok"
"templates.deadlines.infoLine3","Use snooze, bulk mark done, or calendar export for planning.","Use posponer, marcado masivo o exportación para planificar.","Utilisez snooze, marquage groupé ou export calendrier.","ok"
"templates.deadlines.calendarTab","Calendar","Calendario","Calendrier","ok"
"templates.deadlines.listTab","List","Lista","Liste","ok"
"templates.deadlines.monthView","Month","Mes","Mois","ok"
"templates.deadlines.weekView","Week","Semana","Semaine","ok"
"templates.deadlines.importICS","Import ICS to Calendar","Importar ICS","Importer ICS","ok"
"templates.deadlines.importICSShort","Import ICS","Importar","Importer","ok"
"templates.deadlines.imported","Imported","Importado","Importé","ok"
"templates.deadlines.importedBody","Added {{count}} deadlines.","Añadidos {{count}} plazos.","{{count}} échéances ajoutées.","ok"
"templates.deadlines.importFailed","Import failed","Fallo importación","Échec import","ok"
"templates.deadlines.importFailedBody","Could not import ICS.","No se pudo importar ICS.","Impossible d'importer ICS.","ok"
"templates.deadlines.recurringTitle","Add Recurring","Añadir recurrente","Ajouter récurrent","ok"
"templates.deadlines.recurringPrefix","Title prefix","Prefijo título","Préfixe titre","ok"
"templates.deadlines.recurringStart","Start date (YYYY-MM-DD)","Fecha inicio (AAAA-MM-DD)","Date début (AAAA-MM-JJ)","ok"
"templates.deadlines.recurringWeekly","Weekly","Semanal","Hebdo","ok"
"templates.deadlines.recurringMonthly","Monthly","Mensual","Mensuel","ok"
"templates.deadlines.recurringCount","Count","Cantidad","Compteur","ok"
"templates.deadlines.recurringCreate","Create","Crear","Créer","ok"
"templates.deadlines.recurringAdded","Added","Añadido","Ajouté","ok"
"templates.deadlines.recurringAddedBody","{{count}} recurring deadlines added.","{{count}} plazos recurrentes añadidos.","{{count}} échéances récurrentes ajoutées.","ok"
"templates.deadlines.recurringFailed","Failed","Fallo","Échec","ok"
"templates.deadlines.recurringFailedBody","Could not add recurring deadlines.","No se pudo añadir plazos.","Impossible d'ajouter échéances.","ok"
"templates.deadlines.monthLabel","Month","Mes","Mois","ok"
"templates.deadlines.weekLabel","Week","Semana","Semaine","ok"
"templates.deadlines.selectedDate","Selected:","Seleccionado:","Sélectionné :","ok"
"templates.deadlines.myDeadlines","My Deadlines","Mis plazos","Mes échéances","ok"
"templates.deadlines.loading","(loading...)","(cargando...)","(chargement...)","ok"
"templates.deadlines.reload","Reload","Recargar","Recharger","ok"
"templates.deadlines.exportAllIcs","Export all as ICS","Exportar todo ICS","Tout ICS","ok"
"templates.deadlines.exportAllCsv","Export all as CSV","Exportar todo CSV","Tout CSV","ok"
"templates.deadlines.bulkMarkDone","Mark all done","Marcar todo hecho","Tout fait","ok"
"templates.deadlines.bulkMarkUndone","Mark all not-done","Marcar todo no hecho","Tout non fait","ok"
"templates.deadlines.addWeekly4","Add weekly x4","Añadir semanal x4","Hebdo x4","ok"
"templates.deadlines.addMonthly6","Add monthly x6","Añadir mensual x6","Mensuel x6","ok"
"templates.deadlines.none","No deadlines saved.","Sin plazos guardados.","Aucune échéance.","ok"
"templates.deadlines.editTitle","Edit title","Editar título","Modifier titre","ok"
"templates.deadlines.editDate","Edit date (YYYY-MM-DD)","Editar fecha (AAAA-MM-DD)","Modifier date (AAAA-MM-JJ)","ok"
"templates.deadlines.save","Save","Guardar","Sauver","ok"
"templates.deadlines.cancel","Cancel","Cancelar","Annuler","ok"
"templates.deadlines.snooze24","Snooze 24h","Posponer 24h","Reporter 24h","ok"
"templates.deadlines.snooze7","Snooze 7d","Posponer 7d","Reporter 7j","ok"
"templates.deadlines.markDone","Mark done","Marcar hecho","Marquer fait","ok"
"templates.deadlines.markUndone","Mark undone","Marcar no hecho","Marquer non fait","ok"
"templates.deadlines.edit","Edit","Editar","Modifier","ok"
"templates.deadlines.calendarAdd","Calendar","Calendario","Calendrier","ok"
"templates.deadlines.icsOne","ICS","ICS","ICS","untranslated"
"templates.deadlines.delete","Delete","Eliminar","Supprimer","ok"
"templates.deadlines.bulkUpdateFailed","Bulk update failed","Fallo actualización masiva","Échec maj groupée","ok"
"templates.deadlines.bulkUpdateFailedBody","Unable to update all deadlines.","No se pudo actualizar todo.","Impossible de mettre à jour.","ok"
"templates.deadlines.addFailed","Add failed","Fallo al añadir","Échec ajout","ok"
"templates.deadlines.addFailedWeeklyBody","Could not add weekly reminders.","No se pudieron añadir recordatorios semanales.","Ajout hebdo impossible.","ok"
"templates.deadlines.addFailedMonthlyBody","Could not add monthly reminders.","No se pudieron añadir recordatorios mensuales.","Ajout mensuel impossible.","ok"
"templates.deadlines.exportFailed","Export failed","Exportación fallida","Export échoué","ok"
"templates.deadlines.exportFailedBodyIcs","Could not create ICS.","No se pudo crear ICS.","Impossible de créer ICS.","ok"
"templates.deadlines.exportFailedBodyCsv","Could not create CSV.","No se pudo crear CSV.","Impossible de créer CSV.","ok"
"templates.deadlines.savedCache","Saved","Guardado","Sauvegardé","ok"
"templates.deadlines.savedCacheBody","File saved to cache.","Archivo guardado en caché.","Fichier en cache.","ok"
"templates.deadlines.savedCacheShareNA","File saved to cache (sharing unavailable).","Archivo guardado (compartir no disponible).","Fichier en cache (partage indisponible).","ok"
"templates.deadlines.calendarAdded","Added","Agregado","Ajouté","ok"
"templates.deadlines.calendarAddedBody","Event added to calendar.","Evento agregado.","Événement ajouté.","ok"
"templates.deadlines.calendarNotAdded","Not added","No agregado","Non ajouté","ok"
"templates.deadlines.calendarNotAddedBody","Unable to add event.","No se pudo agregar evento.","Impossible d'ajouter événement.","ok"
"templates.deadlines.snoozed","Snoozed","Pospuesto","Reporté","ok"
"templates.deadlines.snoozed24Body","Reminder in 24 hours.","Recordatorio en 24h.","Rappel dans 24h.","ok"
"templates.deadlines.snoozed7Body","Reminder in 7 days.","Recordatorio en 7d.","Rappel dans 7j.","ok"
"templates.deadlines.notScheduled","Not scheduled","No programado","Non programmé","ok"
"templates.deadlines.notScheduledBody","Unable to schedule.","No se pudo programar.","Impossible de programmer.","ok"
"templates.deadlines.updateFailed","Update failed","Actualización fallida","Mise à jour échouée","ok"
"templates.deadlines.updateFailedBody","Unable to update.","No se pudo actualizar.","Impossible de mettre à jour.","ok"
"templates.deadlines.deleteFailed","Delete failed","Eliminación fallida","Suppression échouée","ok"
"templates.deadlines.deleteFailedBody","Unable to delete.","No se pudo eliminar.","Impossible de supprimer.","ok"
"templates.deadlines.loadFailed","Load failed","Error de carga","Chargement échoué","ok"
"templates.deadlines.loadFailedBody","Unable to load deadlines.","No se pudieron cargar plazos.","Impossible de charger échéances.","ok"
"templates.deadlines.importedFromICS","Added {{count}} deadlines from ICS","Añadidos {{count}} desde ICS","{{count}} ajoutées depuis ICS","ok"
"templates.deadlines.importFailedBodyList","Could not import ICS file.","No se pudo importar archivo ICS.","Impossible d'importer fichier ICS.","ok"
"templates.deadlines.listTitle","[T] templates.deadlines.listTitle","[T] templates.deadlines.listTitle","[T] templates.deadlines.listTitle","tagged"
"templates.deadlines.reloadShort","[T] templates.deadlines.reloadShort","[T] templates.deadlines.reloadShort","[T] templates.deadlines.reloadShort","tagged"
"templates.deadlines.exportAllICS","[T] templates.deadlines.exportAllICS","[T] templates.deadlines.exportAllICS","[T] templates.deadlines.exportAllICS","tagged"
"templates.deadlines.exportAllCSV","[T] templates.deadlines.exportAllCSV","[T] templates.deadlines.exportAllCSV","[T] templates.deadlines.exportAllCSV","tagged"
"templates.deadlines.bulkMarkedDone","[T] templates.deadlines.bulkMarkedDone","[T] templates.deadlines.bulkMarkedDone","[T] templates.deadlines.bulkMarkedDone","tagged"
"templates.deadlines.markAllDone","[T] templates.deadlines.markAllDone","[T] templates.deadlines.markAllDone","[T] templates.deadlines.markAllDone","tagged"
"templates.deadlines.bulkMarkedUndone","[T] templates.deadlines.bulkMarkedUndone","[T] templates.deadlines.bulkMarkedUndone","[T] templates.deadlines.bulkMarkedUndone","tagged"
"templates.deadlines.markAllNotDone","[T] templates.deadlines.markAllNotDone","[T] templates.deadlines.markAllNotDone","[T] templates.deadlines.markAllNotDone","tagged"
"templates.deadlines.followUp","[T] templates.deadlines.followUp","[T] templates.deadlines.followUp","[T] templates.deadlines.followUp","tagged"
"templates.deadlines.weekShort","[T] templates.deadlines.weekShort","[T] templates.deadlines.weekShort","[T] templates.deadlines.weekShort","tagged"
"templates.deadlines.addWeekly","[T] templates.deadlines.addWeekly","[T] templates.deadlines.addWeekly","[T] templates.deadlines.addWeekly","tagged"
"templates.deadlines.monthShort","[T] templates.deadlines.monthShort","[T] templates.deadlines.monthShort","[T] templates.deadlines.monthShort","tagged"
"templates.deadlines.addMonthly","[T] templates.deadlines.addMonthly","[T] templates.deadlines.addMonthly","[T] templates.deadlines.addMonthly","tagged"
"templates.deadlines.empty","[T] templates.deadlines.empty","[T] templates.deadlines.empty","[T] templates.deadlines.empty","tagged"
"templates.deadlines.updated","[T] templates.deadlines.updated","[T] templates.deadlines.updated","[T] templates.deadlines.updated","tagged"
"templates.deadlines.snoozedDeadline","[T] templates.deadlines.snoozedDeadline","[T] templates.deadlines.snoozedDeadline","[T] templates.deadlines.snoozedDeadline","tagged"
"templates.deadlines.reminder24h","[T] templates.deadlines.reminder24h","[T] templates.deadlines.reminder24h","[T] templates.deadlines.reminder24h","tagged"
"templates.deadlines.unableSchedule","[T] templates.deadlines.unableSchedule","[T] templates.deadlines.unableSchedule","[T] templates.deadlines.unableSchedule","tagged"
"templates.deadlines.snooze24h","[T] templates.deadlines.snooze24h","[T] templates.deadlines.snooze24h","[T] templates.deadlines.snooze24h","tagged"
"templates.deadlines.reminder7d","[T] templates.deadlines.reminder7d","[T] templates.deadlines.reminder7d","[T] templates.deadlines.reminder7d","tagged"
"templates.deadlines.snooze7d","[T] templates.deadlines.snooze7d","[T] templates.deadlines.snooze7d","[T] templates.deadlines.snooze7d","tagged"
"templates.deadlines.markedUndone","[T] templates.deadlines.markedUndone","[T] templates.deadlines.markedUndone","[T] templates.deadlines.markedUndone","tagged"
"templates.deadlines.markedDone","[T] templates.deadlines.markedDone","[T] templates.deadlines.markedDone","[T] templates.deadlines.markedDone","tagged"
"templates.deadlines.eventAdded","[T] templates.deadlines.eventAdded","[T] templates.deadlines.eventAdded","[T] templates.deadlines.eventAdded","tagged"
"templates.deadlines.eventNotAdded","[T] templates.deadlines.eventNotAdded","[T] templates.deadlines.eventNotAdded","[T] templates.deadlines.eventNotAdded","tagged"
"templates.deadlines.eventAddedBody","[T] templates.deadlines.eventAddedBody","[T] templates.deadlines.eventAddedBody","[T] templates.deadlines.eventAddedBody","tagged"
"templates.deadlines.eventNotAddedBody","[T] templates.deadlines.eventNotAddedBody","[T] templates.deadlines.eventNotAddedBody","[T] templates.deadlines.eventNotAddedBody","tagged"
"templates.deadlines.saved","[T] templates.deadlines.saved","[T] templates.deadlines.saved","[T] templates.deadlines.saved","tagged"
"templates.deadlines.icsSaved","[T] templates.deadlines.icsSaved","[T] templates.deadlines.icsSaved","[T] templates.deadlines.icsSaved","tagged"
"templates.deadlines.exportFailedBody","[T] templates.deadlines.exportFailedBody","[T] templates.deadlines.exportFailedBody","[T] templates.deadlines.exportFailedBody","tagged"
"templates.deadlines.icsBtn","[T] templates.deadlines.icsBtn","[T] templates.deadlines.icsBtn","[T] templates.deadlines.icsBtn","tagged"
"templates.deadlines.deleted","[T] templates.deadlines.deleted","[T] templates.deadlines.deleted","[T] templates.deadlines.deleted","tagged"
"templates.deadlines.prevMonth","[T] templates.deadlines.prevMonth","[T] templates.deadlines.prevMonth","[T] templates.deadlines.prevMonth","tagged"
"templates.deadlines.nextMonth","[T] templates.deadlines.nextMonth","[T] templates.deadlines.nextMonth","[T] templates.deadlines.nextMonth","tagged"
"templates.deadlines.dayCell","[T] templates.deadlines.dayCell","[T] templates.deadlines.dayCell","[T] templates.deadlines.dayCell","tagged"
"templates.deadlines.emptyDay","[T] templates.deadlines.emptyDay","[T] templates.deadlines.emptyDay","[T] templates.deadlines.emptyDay","tagged"
"templates.timeline.title","[T] templates.timeline.title","Cronología del caso","Chronologie du dossier","ok"
"templates.timeline.missingTitle","[T] templates.timeline.missingTitle","[T] templates.timeline.missingTitle","[T] templates.timeline.missingTitle","tagged"
"templates.timeline.missingTitleBody","[T] templates.timeline.missingTitleBody","[T] templates.timeline.missingTitleBody","[T] templates.timeline.missingTitleBody","tagged"
"templates.timeline.entryAdded","[T] templates.timeline.entryAdded","Entrada agregada","Entrée ajoutée","ok"
"templates.timeline.copied","[T] templates.timeline.copied","Copiado","Copié","ok"
"templates.timeline.copiedBody","[T] templates.timeline.copiedBody","Cronología copiada","Chronologie copiée","ok"
"templates.timeline.copyFailed","[T] templates.timeline.copyFailed","[T] templates.timeline.copyFailed","[T] templates.timeline.copyFailed","tagged"
"templates.timeline.copyFailedBody","[T] templates.timeline.copyFailedBody","[T] templates.timeline.copyFailedBody","[T] templates.timeline.copyFailedBody","tagged"
"templates.timeline.shareTitle","[T] templates.timeline.shareTitle","[T] templates.timeline.shareTitle","[T] templates.timeline.shareTitle","tagged"
"templates.timeline.exportFailed","[T] templates.timeline.exportFailed","[T] templates.timeline.exportFailed","[T] templates.timeline.exportFailed","tagged"
"templates.timeline.exportFailedBody","[T] templates.timeline.exportFailedBody","[T] templates.timeline.exportFailedBody","[T] templates.timeline.exportFailedBody","tagged"
"templates.timeline.resetTitle","[T] templates.timeline.resetTitle","[T] templates.timeline.resetTitle","[T] templates.timeline.resetTitle","tagged"
"templates.timeline.resetBody","[T] templates.timeline.resetBody","[T] templates.timeline.resetBody","[T] templates.timeline.resetBody","tagged"
"templates.timeline.screenLabel","[T] templates.timeline.screenLabel","[T] templates.timeline.screenLabel","[T] templates.timeline.screenLabel","tagged"
"templates.timeline.toggleInfo","[T] templates.timeline.toggleInfo","[T] templates.timeline.toggleInfo","[T] templates.timeline.toggleInfo","tagged"
"templates.timeline.resetTimeline","[T] templates.timeline.resetTimeline","[T] templates.timeline.resetTimeline","[T] templates.timeline.resetTimeline","tagged"
"templates.timeline.infoTitle","[T] templates.timeline.infoTitle","Seguimiento del caso","Suivi du dossier","ok"
"templates.timeline.infoLine1","[T] templates.timeline.infoLine1","Registre eventos clave como formularios, visitas, llamadas.","Consignez les événements clés comme formulaires, visites, appels.","ok"
"templates.timeline.infoLine2","[T] templates.timeline.infoLine2","Úselo al redactar cartas o apelaciones.","Utilisez lors de la rédaction de lettres ou appels.","ok"
"templates.timeline.infoLine3","[T] templates.timeline.infoLine3","Exporte o copie para compartir.","Exporter ou copier pour partager.","ok"
"templates.timeline.subtitle","[T] templates.timeline.subtitle","[T] templates.timeline.subtitle","[T] templates.timeline.subtitle","tagged"
"templates.timeline.openDeadlines","[T] templates.timeline.openDeadlines","[T] templates.timeline.openDeadlines","[T] templates.timeline.openDeadlines","tagged"
"templates.timeline.addDocuments","[T] templates.timeline.addDocuments","[T] templates.timeline.addDocuments","[T] templates.timeline.addDocuments","tagged"
"templates.timeline.caseDocuments","[T] templates.timeline.caseDocuments","[T] templates.timeline.caseDocuments","[T] templates.timeline.caseDocuments","tagged"
"templates.timeline.addedToLocker","[T] templates.timeline.addedToLocker","[T] templates.timeline.addedToLocker","[T] templates.timeline.addedToLocker","tagged"
"templates.timeline.addFailed","[T] templates.timeline.addFailed","[T] templates.timeline.addFailed","[T] templates.timeline.addFailed","tagged"
"templates.timeline.addFailedBody","[T] templates.timeline.addFailedBody","[T] templates.timeline.addFailedBody","[T] templates.timeline.addFailedBody","tagged"
"templates.timeline.addDocsBtn","[T] templates.timeline.addDocsBtn","[T] templates.timeline.addDocsBtn","[T] templates.timeline.addDocsBtn","tagged"
"templates.timeline.newEntry","[T] templates.timeline.newEntry","Nueva entrada","Nouvelle entrée","ok"
"templates.timeline.date","[T] templates.timeline.date","Fecha","Date","ok"
"templates.timeline.titleField","[T] templates.timeline.titleField","Título","Titre","ok"
"templates.timeline.detailsField","[T] templates.timeline.detailsField","Detalles","Détails","ok"
"templates.timeline.addEntry","[T] templates.timeline.addEntry","Agregar","Ajouter","ok"
"templates.timeline.entriesTitle","[T] templates.timeline.entriesTitle","Entradas de la cronología","Entrées de la chronologie","ok"
"templates.voice.title","[T] templates.voice.title","Notas de voz a caso","Notes vocales du dossier","ok"
"templates.voice.recording","[T] templates.voice.recording","[T] templates.voice.recording","[T] templates.voice.recording","tagged"
"templates.voice.recordUnavailable","[T] templates.voice.recordUnavailable","Grabación no disponible","Enregistrement indisponible","ok"
"templates.voice.recordUnavailableBody","[T] templates.voice.recordUnavailableBody","Reconstruya con expo-av para habilitar.","Recompiler avec expo-av pour activer.","ok"
"templates.voice.recordingStopped","[T] templates.voice.recordingStopped","[T] templates.voice.recordingStopped","[T] templates.voice.recordingStopped","tagged"
"templates.voice.noteSaved","[T] templates.voice.noteSaved","Nota guardada","Note enregistrée","ok"
"templates.voice.date","[T] templates.voice.date","Fecha","Date","ok"
"templates.voice.who","[T] templates.voice.who","[T] templates.voice.who","[T] templates.voice.who","tagged"
"templates.voice.topic","[T] templates.voice.topic","Tema","Sujet","ok"
"templates.voice.summary","[T] templates.voice.summary","[T] templates.voice.summary","[T] templates.voice.summary","tagged"
"templates.voice.audio","[T] templates.voice.audio","[T] templates.voice.audio","[T] templates.voice.audio","tagged"
"templates.voice.copiedBody","[T] templates.voice.copiedBody","Registro copiado al portapapeles.","Journal copié dans le presse-papiers.","ok"
"templates.voice.shareTitle","[T] templates.voice.shareTitle","Registro de caso","Journal de dossier","ok"
"templates.voice.pdfUnavailable","[T] templates.voice.pdfUnavailable","PDF no disponible","PDF indisponible","ok"
"templates.voice.pdfUnavailableBody","[T] templates.voice.pdfUnavailableBody","Instale expo-print en una compilación de desarrollo.","Installez expo-print dans une build de dev.","ok"
"templates.voice.shareTitleDoc","[T] templates.voice.shareTitleDoc","Registro de caso (.doc)","Journal de dossier (.doc)","ok"
"templates.voice.exportFailed","[T] templates.voice.exportFailed","Exportación fallida","Export échoué","ok"
"templates.voice.exportFailedBody","[T] templates.voice.exportFailedBody","No se pudo crear el archivo .doc","Impossible de créer le fichier .doc","ok"
"templates.voice.infoTitle","[T] templates.voice.infoTitle","Capturar y transcribir","Capturer et transcrire","ok"
"templates.voice.info1","[T] templates.voice.info1","Grabe notas y agregue contexto (quién, tema).","Enregistrez des notes et ajoutez le contexte (qui, sujet).","ok"
"templates.voice.info2","[T] templates.voice.info2","Transcriba audio y comparta registros formateados.","Transcrivez l'audio et partagez des journaux formatés.","ok"
"templates.voice.info3","[T] templates.voice.info3","Úselo para visitas médicas o reuniones.","Utilisez pour visites médicales ou réunions.","ok"
"templates.voice.subtitle","[T] templates.voice.subtitle","Grabe notas de audio y conviértalas en registros.","Enregistrez des notes audio et créez des journaux.","ok"
"templates.voice.whoField","[T] templates.voice.whoField","Quién (médico, gestor, RRHH)","Qui (médecin, gestionnaire, RH)","ok"
"templates.voice.summaryField","[T] templates.voice.summaryField","Resumen / Transcripción","Résumé / Transcription","ok"
"templates.voice.record","[T] templates.voice.record","Grabar audio","Enregistrer audio","ok"
"templates.voice.stop","[T] templates.voice.stop","Detener grabación","Arrêter","ok"
"templates.voice.transcribe","[T] templates.voice.transcribe","Transcribir","Transcrire","ok"
"templates.voice.saveNote","[T] templates.voice.saveNote","Guardar nota","Enregistrer la note","ok"
"templates.voice.savedNotes","[T] templates.voice.savedNotes","Notas guardadas","Notes enregistrées","ok"
"templates.voice.none","[T] templates.voice.none","Sin notas aún.","Aucune note pour l'instant.","ok"
"templates.voice.note","[T] templates.voice.note","Nota","Note","ok"
"common.hide","Hide","Hide","Hide","untranslated"
"common.show","Show","Show","Show","untranslated"
"common.save","Save","Save","Save","untranslated"
"common.saveAll","Save All","Save All","Save All","untranslated"
"common.processQueue","Process Queue","Process Queue","Process Queue","untranslated"
"common.load","Load","Load","Load","untranslated"
"common.loadMore","Load More","Load More","Load More","untranslated"
"common.openQueue","Open Upload Queue","Open Upload Queue","Open Upload Queue","untranslated"
"common.cloudItems","Cloud items","Cloud items","Cloud items","untranslated"
"common.deleteAll","Delete All","Delete All","Delete All","untranslated"
"common.deleteSelected","Delete Selected","Delete Selected","Delete Selected","untranslated"
"common.delete","Delete","Delete","Delete","untranslated"
"common.cancel","Cancel","Cancel","Cancel","untranslated"
"common.filter","quick filter","filtro rápido","filtre rapide","ok"
"common.errorTitle","[T] common.errorTitle","[T] common.errorTitle","[T] common.errorTitle","tagged"
"common.ok","[T] common.ok","[T] common.ok","[T] common.ok","tagged"
"common.hidden","[T] common.hidden","[T] common.hidden","[T] common.hidden","tagged"
"common.shown","[T] common.shown","[T] common.shown","[T] common.shown","tagged"
"common.copyAll","[T] common.copyAll","[T] common.copyAll","[T] common.copyAll","tagged"
"common.share","[T] common.share","[T] common.share","[T] common.share","tagged"
"common.exportDoc","[T] common.exportDoc","[T] common.exportDoc","[T] common.exportDoc","tagged"
"common.reset","[T] common.reset","[T] common.reset","[T] common.reset","tagged"
"common.loading","[T] common.loading","[T] common.loading","[T] common.loading","tagged"
"common.edit","[T] common.edit","[T] common.edit","[T] common.edit","tagged"
"common.previewImage","[T] common.previewImage","[T] common.previewImage","[T] common.previewImage","tagged"
"common.closePreview","[T] common.closePreview","[T] common.closePreview","[T] common.closePreview","tagged"
"common.preview","[T] common.preview","[T] common.preview","[T] common.preview","tagged"
"common.copied","[T] common.copied","[T] common.copied","[T] common.copied","tagged"
"common.copy","[T] common.copy","[T] common.copy","[T] common.copy","tagged"
"common.pdf","[T] common.pdf","[T] common.pdf","[T] common.pdf","tagged"
"common.doc","[T] common.doc","[T] common.doc","[T] common.doc","tagged"
"common.success","[T] common.success","[T] common.success","[T] common.success","tagged"
"common.error","[T] common.error","[T] common.error","[T] common.error","tagged"
"common.working","[T] common.working","[T] common.working","[T] common.working","tagged"
"test.badge","[T]BadgeMarker","IndicadorInsignia","BadgeMarque","ok"
"demoPlural.item.one","{{count}} item","{{count}} elemento","{{count}} item","untranslated"
"demoPlural.item.other","{{count}} items","{{count}} elementos","{{count}} items","untranslated"
"research.chips.uncrpd","UNCRPD","UNCRPD","UNCRPD","untranslated"
"research.chips.advocacy","Advocacy","Defensa","Plaidoyer","ok"
"research.chips.poverty","Poverty","Pobreza","Pauvreté","ok"
"research.chips.suppression","Suppression","Supresión","Suppression","untranslated"
"research.card.uncrpdGuideTitle","UNCRPD Guide & Framework","Guía y Marco UNCRPD","Guide et cadre UNCRPD","ok"
"research.card.uncrpdGuideDesc","Browse articles, General Comments, implementation tools, and country monitoring pathways.","Explora artículos, Comentarios Generales, herramientas de implementación y vías de monitoreo nacional.","Parcourez articles, Observations générales, outils d'implémentation et voies de suivi nationales.","ok"
"research.landing.screenLabel","Research screen","Pantalla de investigación","Écran recherche","ok"
"research.landing.title","Research","Investigación","Recherche","ok"
"research.landing.subtitle","Access studies, reports, articles, history timeline, and case wait-times.","Accede a estudios, informes, artículos, línea histórica y tiempos de espera de casos.","Accédez à études, rapports, articles, frise historique et délais de dossiers.","ok"
"research.landing.studiesTitle","Studies","Estudios","Études","ok"
"research.landing.studiesDesc","Access clinical and workplace studies","Accede a estudios clínicos y laborales","Accès à des études cliniques et en milieu de travail","ok"
"research.landing.reportsTitle","Reports","Informes","Rapports","ok"
"research.landing.reportsDesc","Community and government reports made easy","Informes comunitarios y gubernamentales simplificados","Rapports communautaires et gouvernementaux simplifiés","ok"
"research.landing.articlesTitle","Articles","Artículos","Articles","untranslated"
"research.landing.articlesDesc","Insights on disability, workplace rights, advocacy","Perspectivas sobre discapacidad, derechos laborales y defensa","Analyses sur handicap, droits au travail et plaidoyer","ok"
"research.landing.timelineTitle","History Timeline","Línea Histórica","Frise Historique","ok"
"research.landing.timelineDesc","Track milestones in disability, worker, and injured worker rights","Sigue hitos en derechos de discapacidad y laborales","Suivre les étapes marquantes des droits du handicap et du travail","ok"
"research.landing.waitTitle","Case/File Wait-Times","Tiempos de Espera de Casos/Expedientes","Délais Dossier / Instance","ok"
"research.landing.waitDesc","Estimate how long processes may take","Estima cuánto pueden demorar los procesos","Estimer la durée probable des processus","ok"
"research.landing.masterIndexTitle","Master Index","Índice Maestro","Index Principal","ok"
"research.landing.masterIndexDesc","Comprehensive map of data & research sources","Mapa integral de fuentes de datos e investigación","Cartographie complète des sources de données & recherche","ok"
"research.landing.hubsHeader","Research & Data Hubs","Centros de Datos e Investigación","Hubs de Données et Recherche","ok"
"research.landing.hubsIntro","Trusted national and global sources for disability, return-to-work, accessibility, assistive tech, and social protection evidence.","Fuentes nacionales y globales de evidencia sobre discapacidad, retorno al trabajo, accesibilidad, tecnología asistiva y protección social.","Sources nationales et mondiales sur handicap, retour au travail, accessibilité, technologies d’assistance et protection sociale.","ok"
"research.landing.regionCanada","Canada","Canadá","Canada","untranslated"
"research.landing.regionWorldwide","Worldwide","Mundial","Monde","ok"
"uncrpd.screenLabel","UNCRPD information and application guide screen","Pantalla de información y guía de aplicación UNCRPD","Écran informations et guide d'application UNCRPD","ok"
"uncrpd.title","UNCRPD Framework & Application Guide","Marco UNCRPD y Guía de Aplicación","Cadre UNCRPD et guide d'application","ok"
"uncrpd.intro","The UN Convention on the Rights of Persons with Disabilities (UNCRPD) sets out global obligations to respect, protect, and fulfill disability rights. This guide helps you navigate its core texts, General Comments, monitoring tools, and practical implementation pathways.","La Convención de la ONU sobre los Derechos de las Personas con Discapacidad (UNCRPD) establece obligaciones globales para respetar, proteger y garantizar derechos. Esta guía te ayuda a navegar textos básicos, Comentarios Generales, herramientas de monitoreo y vías prácticas de implementación.","La Convention des Nations Unies relative aux droits des personnes handicapées (UNCRPD) définit des obligations mondiales pour respecter, protéger et réaliser les droits liés au handicap. Ce guide aide à naviguer textes de base, Observations générales, outils de suivi et voies pratiques d'application.","ok"
"uncrpd.quickAccess","Quick Access","Acceso rápido","Accès rapide","ok"
"uncrpd.openFilteredIndex","Open Research Index (filtered)","Abrir índice de investigación (filtrado)","Ouvrir index de recherche (filtré)","ok"
"uncrpd.sections.coreTexts","Core Texts & General Comments","Textos básicos y Comentarios Generales","Textes de base et Observations générales","ok"
